batch_id,source_file_name,source_customer_id,expected_person_id,first_name,last_name,email,phone,dob,address_line1,city,state,postal_code,country,loyalty_id,created_at,updated_at,record_hash,process_status
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_62CF384BDFF7,P00000003,Lindsay,Blair,lindsay.blair8936@example.com,,1976-11-17,1849 Ray Squares,North Donnaport,CO,31013,US,CR66629388,2026-01-11 19:32:26,2026-03-15 19:09:26,a13ebc5cac1153e075400de07311bd5c35f038b285c93e0d55f6f4c32e6254c3,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_5F865A822DAA,P00000007,Tasa,Valencia,tasha.valencia8929@example.com,+13801823908,1941-03-03,845 Kelly Estate,Smithview,NY,23917,US,CR70291817,2024-03-19 04:54:26,2026-05-09 13:50:26,fe47c0a412aa668330cccd0b238244ce481fcd699651c8da79962aab50ff96c0,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_E4BBEA03652A,P00000010,Tamara,Hickman,tamara.hickman4553@example.com,+12667779376,,465 Lam Mission,East Jeffreymouth,,77611,US,,2025-05-23 11:30:26,2026-05-08 04:16:26,44311d28b6e999c0cbd5212d510f258a5135b9a13311f8a66774bcf7255464b0,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_267902D712D7,P00000015,Beth,Daniels,beth.daniels1292@example.com,+14370996465,1991-04-16,09788 Brian Pass Apt. 219,Lake Michellefurt,DE,75169,US,CR94374605,2023-07-11 14:59:26,2026-03-13 07:30:26,cf856678ab3123a14bc6e2d338e361f5c3b6f9c73ceb6a807edb982b2653eea1,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_467B51505E9E,P00000019,Matthew,Watts,matthew.watts6228@example.com,+13193887545,1998-06-06,,Lake Tina,GA,,US,,2023-07-06 12:00:26,2026-04-26 06:16:26,cd5d8e96182f5b33daa3b0a60c0a122441dd8a5e12803f7e86fb32a952997ee6,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_218D651B57F0,P00000024,Candace,Reed,candace.reed7574@example.com,+13629748727,1993-11-26,,West Ryan,,43780,US,,2025-05-27 04:30:26,2026-05-20 07:02:26,f022f8649e8e4740c14e093240e60912fb16ccd0f63b4dc5a71e159008d7ed33,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_CB4DE5E0B87C,P00000029,Vanessa,Larson,vanessa.larson3484@example.com,+14815087637,,868 Merritt Summit Suite 743,Katiehaven,NM,82650,US,CR63100814,2024-09-28 20:13:26,2026-04-13 13:00:26,a58ec11ab80bf3d79fef2cfd783b60923a212a5b8a500ee1ac72cc1164546a51,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_D228B8A36186,P00000048,Cynthia,Vasquez,cynthia.vasquez8690@example.com,+15944899549,,6551 Mark Square Suite 468,South Christopherview,MD,15695,US,CR90388981,2024-04-13 09:01:26,2026-05-13 00:24:26,b1e8d96a45b4fb8c269fe07088677325ea4d07a81201c20ea63a25172b7db34c,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_D96B7A31EE66,P00000054,,Baker,kimberly.baker2104@example.com,+14833608204,1982-10-20,158 Finley Road Suite 809,East Crystalport,,98381,US,CR83793389,2024-05-09 15:39:26,2026-04-30 12:54:26,f0f75c9cbbd3f6184f5b5219cf146322c1f0f005af7191d6cf33b30c0e76a59e,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_B94F59E82BB6,P00000066,Mark,Hernandez,mark.hernandez8835@example.com,+16863242351,2001-09-01,,East Alexisbury,OR,,US,CR86644106,2025-01-15 08:30:26,2026-04-14 01:06:26,38087192711d1a4d5d5e55c3ec056762ac551d25dfdae51ea598f9aa21f7dad4,NEW
BATCH_APP_USERS_4B925424B5D8,app_users.csv,APP_27CDC52E5E0B,P00000073,Sandra,Bell,sandra.bell8787@example.com,+13926780541,1952-09-24,612 Christopher Pines,South Robert,MA,21132,US,,2025-11-06 18:26:26,2026-03-06 07:02:26,e0f16141efebc492239720785716d7f21b8379499a58385c3f8e1635da47d96b,NEW
